"Poslovanje podjetij by SKD DEJAVNOST, MERITVE and ÈETRTLETJE"

"SKD DEJAVNOST - SKUPAJ"
" ";"13 Stopnja lastniškosti financiranja"
" ";" ";"2012Q3";0.14
" ";" ";"2012Q4";0.14
" ";" ";"2013Q1";0.14
" ";" ";"2013Q2";0.14
" ";" ";"2013Q3";0.14
" ";" ";"2013Q4";0.13
" ";" ";"2014Q1";0.15
" ";" ";"2014Q2";0.14
" ";" ";"2014Q3";0.14
" ";" ";"2014Q4";0.14
" ";" ";"2015Q1";0.14
" ";" ";"2015Q2";0.14
" ";" ";"2015Q3";0.14
" ";" ";"2015Q4";0.14
" ";" ";"2016Q1";0.15
" ";" ";"2016Q2";0.15
" ";" ";"2016Q3";0.14
" ";" ";"2016Q4";0.14
" ";"22 Dobièek na sredstva"
" ";" ";"2011Q1";0.01
" ";" ";"2011Q2";0.01
" ";" ";"2011Q3";0.01
" ";" ";"2011Q4";0.01
" ";" ";"2012Q1";0.01
" ";" ";"2012Q2";0.01
" ";" ";"2012Q3";0.01
" ";" ";"2012Q4";0.01
" ";" ";"2013Q1";0.01
" ";" ";"2013Q2";0.01
" ";" ";"2013Q3";0.01M
" ";" ";"2013Q4";0.01
" ";" ";"2014Q1";0.01
" ";" ";"2014Q2";0.01
" ";" ";"2014Q3";0.01
" ";" ";"2014Q4";0.01
" ";" ";"2015Q1";0.01
" ";" ";"2015Q2";0.01
" ";" ";"2015Q3";0.02
" ";" ";"2015Q4";0.01
" ";" ";"2016Q1";0.01
" ";" ";"2016Q2";0.01
" ";" ";"2016Q3";0.01
" ";" ";"2016Q4";0.01
"A Kmetijstvo in lov, gozdarstvo, ribištvo"
" ";"13 Stopnja lastniškosti financiranja"
" ";" ";"2011Q1";0.45
" ";" ";"2011Q2";0.46
" ";" ";"2011Q3";0.45
" ";" ";"2011Q4";0.43
" ";" ";"2012Q1";0.45
" ";" ";"2012Q2";0.45
" ";" ";"2012Q3";0.45
" ";" ";"2012Q4";0.47
" ";" ";"2013Q1";0.43
" ";" ";"2013Q2";0.43
" ";" ";"2013Q3";0.43
" ";" ";"2013Q4";0.42
" ";" ";"2014Q1";0.46
" ";" ";"2014Q2";0.47
" ";" ";"2014Q3";0.45
" ";" ";"2014Q4";0.46
" ";" ";"2015Q1";0.42M
" ";" ";"2015Q2";0.43M
" ";" ";"2015Q3";0.44M
" ";" ";"2015Q4";0.41M
" ";" ";"2016Q1";0.37M
" ";" ";"2016Q2";0.37M
" ";" ";"2016Q3";0.37M
" ";" ";"2016Q4";0.41M
" ";"15 Koeficient gospodarnosti poslovanja"
" ";" ";"2011Q1";1.02
" ";" ";"2011Q2";1.02
" ";" ";"2011Q3";1.00
" ";" ";"2011Q4";1.03
" ";" ";"2012Q1";1.01
" ";" ";"2012Q2";1.03
" ";" ";"2012Q3";1.06
" ";" ";"2012Q4";1.03
" ";" ";"2013Q1";0.94
" ";" ";"2013Q2";1.06
" ";" ";"2013Q3";1.00
" ";" ";"2013Q4";1.01
" ";" ";"2014Q1";1.03
" ";" ";"2014Q2";1.01
" ";" ";"2014Q3";0.99
" ";" ";"2014Q4";1.01
" ";" ";"2015Q1";1.01
" ";" ";"2015Q2";1.13
" ";" ";"2015Q3";1.00
" ";" ";"2015Q4";1.03
" ";" ";"2016Q1";1.08
" ";" ";"2016Q2";1.08
" ";" ";"2016Q3";1.13M
" ";" ";"2016Q4";1.13
" ";"17 Koeficient kapitalske pokritosti dolgoroènih sredstev"
" ";" ";"2011Q1";0.72
" ";" ";"2011Q2";0.72
" ";" ";"2011Q3";0.71
" ";" ";"2011Q4";0.70
" ";" ";"2012Q1";0.72
" ";" ";"2012Q2";0.70
" ";" ";"2012Q3";0.71
" ";" ";"2012Q4";0.74
" ";" ";"2013Q1";0.64M
" ";" ";"2013Q2";0.64M
" ";" ";"2013Q3";0.64M
