"starost","drzava","spol","religija"
"16 - 24","Germany","Males",11.5
"16 - 24","Germany","Females",13.8
"16 - 24","Estonia","Males",2
"16 - 24","Estonia","Females",2.8
"16 - 24","Ireland","Males",34.7
"16 - 24","Ireland","Females",43.4
"16 - 24","Greece","Males",17
"16 - 24","Greece","Females",23.1
"16 - 24","Spain","Males",6.7
"16 - 24","Spain","Females",9.1
"16 - 24","France","Males",0.6
"16 - 24","France","Females",0.6
"16 - 24","Italy","Males",13.7
"16 - 24","Italy","Females",21
"16 - 24","Cyprus","Males",85.7
"16 - 24","Cyprus","Females",85.8
"16 - 24","Latvia","Males",5
"16 - 24","Latvia","Females",6.2
"16 - 24","Lithuania","Males",10.9
"16 - 24","Lithuania","Females",16.1
"16 - 24","Luxembourg","Males",21
"16 - 24","Luxembourg","Females",26.8
"16 - 24","Hungary","Males",1.4
"16 - 24","Hungary","Females",3.2
"16 - 24","Malta","Males",56
"16 - 24","Malta","Females",56.5
"16 - 24","Netherlands","Males",35.8
"16 - 24","Netherlands","Females",43.2
"16 - 24","Austria","Males",8.1
"16 - 24","Austria","Females",8.8
"16 - 24","Poland","Males",65.7
"16 - 24","Poland","Females",72.1
"16 - 24","Portugal","Males",29.1
"16 - 24","Portugal","Females",44.6
"16 - 24","Slovenia","Males",18.4
"16 - 24","Slovenia","Females",20.6
"16 - 24","Slovakia","Males",29.8
"16 - 24","Slovakia","Females",38
"16 - 24","Finland","Males",10.1
"16 - 24","Finland","Females",13.4
"16 - 24","Sweden","Males",12.5
"16 - 24","Sweden","Females",14.2
"16 - 24","United Kingdom","Males",5
"16 - 24","United Kingdom","Females",6.3
"16 - 24","Iceland","Males",5.1
"16 - 24","Iceland","Females",7
"16 - 24","Norway","Males",10.5
"16 - 24","Norway","Females",14.6
"20 - 24","Bulgaria","Males",0.4
"20 - 24","Bulgaria","Females",1.9
"20 - 24","Czech Republic","Males",3.4
"20 - 24","Czech Republic","Females",3
"20 - 24","Denmark","Males",5.3
"20 - 24","Denmark","Females",10.9
"20 - 24","Germany","Males",9.2
"20 - 24","Germany","Females",10.6
"20 - 24","Estonia","Males",2
"20 - 24","Estonia","Females",3.2
"20 - 24","Ireland","Males",30.8
"20 - 24","Ireland","Females",37.7
"20 - 24","Greece","Males",15.4
"20 - 24","Greece","Females",19.5
"20 - 24","Spain","Males",5.3
"20 - 24","Spain","Females",7.6
"20 - 24","France","Males",0.3
"20 - 24","France","Females",0.3
"20 - 24","Italy","Males",11.8
"20 - 24","Italy","Females",18.9
"20 - 24","Cyprus","Males",83.6
"20 - 24","Cyprus","Females",84.7
"20 - 24","Latvia","Males",4.5
"20 - 24","Latvia","Females",6.8
"20 - 24","Lithuania","Males",10
"20 - 24","Lithuania","Females",15.5
"20 - 24","Luxembourg","Males",23.4
"20 - 24","Luxembourg","Females",25.7
"20 - 24","Hungary","Males",1.1
"20 - 24","Hungary","Females",3.3
"20 - 24","Malta","Males",56.7
"20 - 24","Malta","Females",57.2
"20 - 24","Netherlands","Males",33.8
"20 - 24","Netherlands","Females",36.2
"20 - 24","Austria","Males",9.8
"20 - 24","Austria","Females",10.5
"20 - 24","Poland","Males",62.2
"20 - 24","Poland","Females",68.5
"20 - 24","Portugal","Males",27.2
"20 - 24","Portugal","Females",46.3
"20 - 24","Slovenia","Males",15.3
"20 - 24","Slovenia","Females",19.5
"20 - 24","Slovakia","Males",28.8
"20 - 24","Slovakia","Females",37
"20 - 24","Finland","Males",7
"20 - 24","Finland","Females",12.1
"20 - 24","Sweden","Males",12.6
"20 - 24","Sweden","Females",14
"20 - 24","United Kingdom","Males",5.3
"20 - 24","United Kingdom","Females",4.2
"20 - 24","Iceland","Males",5.4
"20 - 24","Iceland","Females",5
"20 - 24","Norway","Males",8.1
"20 - 24","Norway","Females",9.4
"25 - 29","Bulgaria","Males",1.9
"25 - 29","Bulgaria","Females",2
"25 - 29","Czech Republic","Males",6.3
"25 - 29","Czech Republic","Females",5.9
"25 - 29","Denmark","Males",8.3
"25 - 29","Denmark","Females",9.1
"25 - 29","Germany","Males",10.3
"25 - 29","Germany","Females",10.4
"25 - 29","Estonia","Males",2.3
"25 - 29","Estonia","Females",5.2
"25 - 29","Ireland","Males",25.1
"25 - 29","Ireland","Females",39.1
"25 - 29","Greece","Males",21.6
"25 - 29","Greece","Females",30.8
"25 - 29","Spain","Males",5
"25 - 29","Spain","Females",8.4
