"leto","drzava","spol","starost","izobrazba","stevilo"
2007,"Germany","Males","20 do 29","0-2",673.5
2007,"Germany","Males","20 do 29","3-4",2393.7
2007,"Germany","Males","25 do 29","0-2",228.2
2007,"Germany","Males","25 do 29","3-4",1307.4
2007,"Germany","Females","15 do 19","0-2",497.6
2007,"Germany","Females","15 do 19","3-4",93.8
2007,"Germany","Females","15 do 24","0-2",795
2007,"Germany","Females","15 do 24","3-4",1127.6
2007,"Germany","Females","15 do 29","0-2",945.3
2007,"Germany","Females","15 do 29","3-4",2227.2
2007,"Germany","Females","20 do 24","0-2",297.5
2007,"Germany","Females","20 do 24","3-4",1033.8
2007,"Germany","Females","20 do 29","0-2",447.7
2007,"Germany","Females","20 do 29","3-4",2133.5
2007,"Germany","Females","25 do 29","0-2",150.2
2007,"Germany","Females","25 do 29","3-4",1099.7
2007,"Estonia","Males","15 do 19","0-2",4
2007,"Estonia","Males","15 do 19","3-4",2.4
2007,"Estonia","Males","15 do 24","0-2",12.1
2007,"Estonia","Males","15 do 24","3-4",22.7
2007,"Estonia","Males","15 do 29","0-2",19.7
2007,"Estonia","Males","15 do 29","3-4",46.9
2007,"Estonia","Males","20 do 24","0-2",8.1
2007,"Estonia","Males","20 do 24","3-4",20.3
2007,"Estonia","Males","20 do 29","0-2",15.7
2007,"Estonia","Males","20 do 29","3-4",44.5
2007,"Estonia","Males","25 do 29","0-2",7.5
2007,"Estonia","Males","25 do 29","3-4",24.2
2007,"Estonia","Females","15 do 19","0-2",3.2
2007,"Estonia","Females","15 do 19","3-4",1.6
2007,"Estonia","Females","15 do 24","0-2",4.8
2007,"Estonia","Females","15 do 24","3-4",17.2
2007,"Estonia","Females","15 do 29","0-2",7.7
2007,"Estonia","Females","15 do 29","3-4",29.4
2007,"Estonia","Females","20 do 24","0-2",1.6
2007,"Estonia","Females","20 do 24","3-4",15.6
2007,"Estonia","Females","20 do 29","0-2",4.5
2007,"Estonia","Females","20 do 29","3-4",27.8
2007,"Estonia","Females","25 do 29","0-2",2.9
2007,"Estonia","Females","25 do 29","3-4",12.2
2007,"Ireland","Males","15 do 19","0-2",19.5
2007,"Ireland","Males","15 do 19","3-4",19.2
2007,"Ireland","Males","15 do 24","0-2",39.2
2007,"Ireland","Males","15 do 24","3-4",103.3
2007,"Ireland","Males","15 do 29","0-2",61.9
2007,"Ireland","Males","15 do 29","3-4",178.5
2007,"Ireland","Males","20 do 24","0-2",19.7
2007,"Ireland","Males","20 do 24","3-4",84.1
2007,"Ireland","Males","20 do 29","0-2",42.4
2007,"Ireland","Males","20 do 29","3-4",159.3
2007,"Ireland","Males","25 do 29","0-2",22.7
2007,"Ireland","Males","25 do 29","3-4",75.2
2007,"Ireland","Females","15 do 19","0-2",14.8
2007,"Ireland","Females","15 do 19","3-4",18.7
2007,"Ireland","Females","15 do 24","0-2",22
2007,"Ireland","Females","15 do 24","3-4",83.9
2007,"Ireland","Females","15 do 29","0-2",32.7
2007,"Ireland","Females","15 do 29","3-4",132.7
2007,"Ireland","Females","20 do 24","0-2",7.2
2007,"Ireland","Females","20 do 24","3-4",65.2
2007,"Ireland","Females","20 do 29","0-2",17.9
2007,"Ireland","Females","20 do 29","3-4",114
2007,"Ireland","Females","25 do 29","0-2",10.8
2007,"Ireland","Females","25 do 29","3-4",48.8
2007,"Greece","Males","15 do 19","0-2",18.3
2007,"Greece","Males","15 do 19","3-4",9.8
2007,"Greece","Males","15 do 24","0-2",77.7
2007,"Greece","Males","15 do 24","3-4",96.8
2007,"Greece","Males","15 do 29","0-2",182
2007,"Greece","Males","15 do 29","3-4",259.7
2007,"Greece","Males","20 do 24","0-2",59.4
2007,"Greece","Males","20 do 24","3-4",87
2007,"Greece","Males","20 do 29","0-2",163.8
2007,"Greece","Males","20 do 29","3-4",250
2007,"Greece","Males","25 do 29","0-2",104.3
2007,"Greece","Males","25 do 29","3-4",162.9
2007,"Greece","Females","15 do 19","0-2",5.9
2007,"Greece","Females","15 do 19","3-4",8.9
