"Število prireditev po: OBÈINE, VRSTA PRIREDITVE, VRSTA PRODUKCIJE , LETO"

"SLOVENIJA"
" ";"Prireditve - SKUPAJ"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";34
" ";" ";" ";"2014";29
" ";" ";" ";"2015";30
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";3469
" ";" ";" ";"2012";-
" ";" ";" ";"2013";3261
" ";" ";" ";"2014";2667
" ";" ";" ";"2015";2778
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";1371
" ";" ";" ";"2012";-
" ";" ";" ";"2013";1067
" ";" ";" ";"2014";467
" ";" ";" ";"2015";750
" ";"Instrumentalni koncerti"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";6
" ";" ";" ";"2012";-
" ";" ";" ";"2013";4
" ";" ";" ";"2014";5
" ";" ";" ";"2015";6
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";4
" ";" ";" ";"2014";5
" ";" ";" ";"2015";6
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";480
" ";" ";" ";"2012";-
" ";" ";" ";"2013";260
" ";" ";" ";"2014";267
" ";" ";" ";"2015";389
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";43
" ";" ";" ";"2014";0
" ";" ";" ";"2015";22
" ";"Rock koncerti, plesi"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Gledališke predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";2
" ";" ";" ";"2012";-
" ";" ";" ";"2013";17
" ";" ";" ";"2014";17
" ";" ";" ";"2015";13
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";17
" ";" ";" ";"2014";17
" ";" ";" ";"2015";13
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";594
" ";" ";" ";"2012";-
" ";" ";" ";"2013";2058
" ";" ";" ";"2014";1667
" ";" ";" ";"2015";1333
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";758
" ";" ";" ";"2014";467
" ";" ";" ";"2015";389
" ";"Lutkovne predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";16
" ";" ";" ";"2012";-
" ";" ";" ";"2013";3
" ";" ";" ";"2014";0
" ";" ";" ";"2015";4
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";-
" ";" ";" ";"2013";3
" ";" ";" ";"2014";4
" ";" ";" ";"2015";4
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";1600
" ";" ";" ";"2012";-
" ";" ";" ";"2013";130
" ";" ";" ";"2014";0
" ";" ";" ";"2015";222
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";1371
" ";" ";" ";"2012";-
" ";" ";" ";"2013";97
" ";" ";" ";"2014";0
" ";" ";" ";"2015";222
" ";"Muzejske razstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";1
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";1
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";78
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";17
"Bohinj"
" ";"Prireditve - SKUPAJ"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";103
" ";" ";" ";"2012";94
" ";" ";" ";"2013";36
" ";" ";" ";"2014";49
" ";" ";" ";"2015";51
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";90
" ";" ";" ";"2012";34
" ";" ";" ";"2013";27
" ";" ";" ";"2014";48
" ";" ";" ";"2015";46
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";10286
" ";" ";" ";"2012";9400
" ";" ";" ";"2013";3600
" ";" ";" ";"2014";4801
" ";" ";" ";"2015";8866
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Instrumentalni koncerti"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";6
" ";" ";" ";"2012";5
" ";" ";" ";"2013";1
" ";" ";" ";"2014";3
" ";" ";" ";"2015";2
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";6
" ";" ";" ";"2012";3
" ";" ";" ";"2013";1
" ";" ";" ";"2014";3
" ";" ";" ";"2015";2
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";571
" ";" ";" ";"2012";500
" ";" ";" ";"2013";100
" ";" ";" ";"2014";300
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Rock koncerti, plesi"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";1
" ";" ";" ";"2012";1
" ";" ";" ";"2013";1
" ";" ";" ";"2014";4
" ";" ";" ";"2015";6
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";1
" ";" ";" ";"2012";0
" ";" ";" ";"2013";1
" ";" ";" ";"2014";4
" ";" ";" ";"2015";6
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";114
" ";" ";" ";"2012";100
" ";" ";" ";"2013";100
" ";" ";" ";"2014";400
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Gledališke predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";27
" ";" ";" ";"2012";27
" ";" ";" ";"2013";5
" ";" ";" ";"2014";10
" ";" ";" ";"2015";10
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";18
" ";" ";" ";"2012";17
" ";" ";" ";"2013";4
" ";" ";" ";"2014";10
" ";" ";" ";"2015";8
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";2743
" ";" ";" ";"2012";2700
" ";" ";" ";"2013";500
" ";" ";" ";"2014";1000
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Lutkovne predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";10
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";10
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";1029
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Muzejske razstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";3
" ";" ";" ";"2012";3
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";1
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";3
" ";" ";" ";"2012";0
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";1
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";343
" ";" ";" ";"2012";300
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";0
"Brda"
" ";"Prireditve - SKUPAJ"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";1
" ";" ";" ";"2015";5
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";6933
" ";" ";" ";"2015";300
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";3067
" ";" ";" ";"2015";30
" ";"Instrumentalni koncerti"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Rock koncerti, plesi"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Gledališke predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Lutkovne predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";0
" ";" ";" ";"2012";0
" ";" ";" ";"2013";0
" ";" ";" ";"2014";0
" ";" ";" ";"2015";0
" ";"Muzejske razstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";-
" ";" ";" ";"2012";-
" ";" ";" ";"2013";-
" ";" ";" ";"2014";-
" ";" ";" ";"2015";-
"Celje"
" ";"Prireditve - SKUPAJ"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";276
" ";" ";" ";"2012";242
" ";" ";" ";"2013";130
" ";" ";" ";"2014";116
" ";" ";" ";"2015";171
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";174
" ";" ";" ";"2012";208
" ";" ";" ";"2013";130
" ";" ";" ";"2014";100
" ";" ";" ";"2015";131
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";87633
" ";" ";" ";"2012";70163
" ";" ";" ";"2013";36813
" ";" ";" ";"2014";30860
" ";" ";" ";"2015";40024
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";23341
" ";" ";" ";"2012";25004
" ";" ";" ";"2013";17441
" ";" ";" ";"2014";12944
" ";" ";" ";"2015";3676
" ";"Instrumentalni koncerti"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";18
" ";" ";" ";"2012";23
" ";" ";" ";"2013";23
" ";" ";" ";"2014";21
" ";" ";" ";"2015";36
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";18
" ";" ";" ";"2012";23
" ";" ";" ";"2013";23
" ";" ";" ";"2014";16
" ";" ";" ";"2015";32
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";1911
" ";" ";" ";"2012";2412
" ";" ";" ";"2013";5011
" ";" ";" ";"2014";4129
" ";" ";" ";"2015";5724
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";833
" ";" ";" ";"2012";711
" ";" ";" ";"2013";1662
" ";" ";" ";"2014";1271
" ";" ";" ";"2015";419
" ";"Rock koncerti, plesi"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";51
" ";" ";" ";"2012";46
" ";" ";" ";"2013";17
" ";" ";" ";"2014";26
" ";" ";" ";"2015";10
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";17
" ";" ";" ";"2012";44
" ";" ";" ";"2013";17
" ";" ";" ";"2014";23
" ";" ";" ";"2015";24
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";22722
" ";" ";" ";"2012";22212
" ";" ";" ";"2013";8091
" ";" ";" ";"2014";6836
" ";" ";" ";"2015";4709
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";8897
" ";" ";" ";"2012";11423
" ";" ";" ";"2013";4962
" ";" ";" ";"2014";4354
" ";" ";" ";"2015";105
" ";"Gledališke predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";20
" ";" ";" ";"2012";27
" ";" ";" ";"2013";12
" ";" ";" ";"2014";10
" ";" ";" ";"2015";5
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";8
" ";" ";" ";"2012";28
" ";" ";" ";"2013";12
" ";" ";" ";"2014";8
" ";" ";" ";"2015";8
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";6000
" ";" ";" ";"2012";13454
" ";" ";" ";"2013";3667
" ";" ";" ";"2014";2700
" ";" ";" ";"2015";1570
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";1111
" ";" ";" ";"2012";5077
" ";" ";" ";"2013";2444
" ";" ";" ";"2014";1059
" ";" ";" ";"2015";0
" ";"Lutkovne predstave"
" ";" ";"Vse prireditve - SKUPAJ"
" ";" ";" ";"2011";28
" ";" ";" ";"2012";44
" ";" ";" ";"2013";1
" ";" ";" ";"2014";2
" ";" ";" ";"2015";13
" ";" ";"Gostovanja - SKUPAJ"
" ";" ";" ";"2011";7
" ";" ";" ";"2012";15
" ";" ";" ";"2013";1
" ";" ";" ";"2014";2
" ";" ";" ";"2015";6
" ";" ";"Število obiskovalcev - SKUPAJ"
" ";" ";" ";"2011";2444
" ";" ";" ";"2012";5331
" ";" ";" ";"2013";489
" ";" ";" ";"2014";847
" ";" ";" ";"2015";1047
" ";" ";"..Število obiskovalcev (otroci in mladina)"
" ";" ";" ";"2011";1667
" ";" ";" ";"2012";5077
" ";" ";" ";"2013";244
" ";" ";" ";"2014";529
