"Povpreène meseène plaèe po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Povpreèna meseèna bruto plaèa"
" ";"2014";1273.61
" ";"2015";1290.48
"Vojnik"
" ";"2011";1342.93
" ";"2012";1333.85
" ";"2013";1328.49
" ";"2014";1321.17
" ";"2015";1314.90
"Vransko"
" ";"2011";1371.08
" ";"2012";1343.36
" ";"2013";1308.27
" ";"2014";1325.28
" ";"2015";1327.25
"Vrhnika"
" ";"2011";1326.56
" ";"2012";1311.70
" ";"2013";1330.61
" ";"2014";1355.26
" ";"2015";1366.48
"Vuzenica"
" ";"2011";1207.90
" ";"2012";1271.56
" ";"2013";1252.34
" ";"2014";1228.19
" ";"2015";1261.48
"Zagorje ob Savi"
" ";"2011";1347.87
" ";"2012";1273.93
" ";"2013";1309.40
" ";"2014";1313.62
" ";"2015";1312.68
"Zavrè"
" ";"2011";1142.12
" ";"2012";1183.56
" ";"2013";1116.13
" ";"2014";1065.66
" ";"2015";1110.27
"Zreèe"
" ";"2011";1298.48
" ";"2012";1318.75
" ";"2013";1360.17
" ";"2014";1399.90
" ";"2015";1431.73
"Žalec"
" ";"2011";1343.25
" ";"2012";1335.61
" ";"2013";1336.98
" ";"2014";1339.65
" ";"2015";1366.59
"Železniki"
" ";"2011";1264.41
" ";"2012";1245.75
" ";"2013";1332.08
" ";"2014";1405.70
" ";"2015";1430.53
"Žetale"
" ";"2011";1358.40
" ";"2012";1370.38
" ";"2013";1342.08
" ";"2014";1319.28
" ";"2015";1364.07
"Žiri"
" ";"2011";1243.50
" ";"2012";1274.05
" ";"2013";1299.08
" ";"2014";1352.08
" ";"2015";1384.73
"Žirovnica"
" ";"2011";1421.13
" ";"2012";1467.57
" ";"2013";1522.23
" ";"2014";1471.07
" ";"2015";1468.56
"Žužemberk"
" ";"2011";1265.77
" ";"2012";1236.06
" ";"2013";1258.51
" ";"2014";1286.73
" ";"2015";1318.19

"Vir: Statistièni urad Republike Slovenije. "
" "
"Pri izraèunu podatkov o povpreènih meseènih plaèah za leto 2015 so za "
"obdobje od januarja do oktobra 2015 uporabljeni preraèunani podatki "
"zaradi spremembe v virih podatkov."

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8212 "
"target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po uredbi o Standardni "
"klasifikaciji teritorialnih enot, raven SKTE 5. Podatki o spremembah "
"posameznih obèin so dostopni na (seznam "
"HREF=http://www.stat.si/tema_splosno_upravno_obcine.asp "
"TARGET=_blank) povezavi. V Seznamu obèin s spremembami obmoèij obèin "
"od leta 1995 dalje je opisana vrsta spremembe, naveden je datum, s "
"katerim je opisana teritorialna sprememba upoštevana pri "
"teritorialnem razvršèanju enot za statistiène namene ter naveden "
"Uradni list, v katerem so bile objavljene omenjene teritorialne "
"opombe. V seznamu obèin je navedeno zadnje veljavno stanje imen "
"obèin. "

"znesek v EUR"

