"Povpreène meseène plaèe po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Povpreèna meseèna bruto plaèa"
" ";"2012";1519.38
" ";"2013";1518.35
" ";"2014";1410.65
" ";"2015";1357.84
"Grosuplje"
" ";"2011";1401.16
" ";"2012";1391.31
" ";"2013";1375.36
" ";"2014";1391.07
" ";"2015";1424.04
"Hajdina"
" ";"2011";1152.65
" ";"2012";1047.87
" ";"2013";1090.51
" ";"2014";1093.93
" ";"2015";1060.98
"Hoèe - Slivnica"
" ";"2011";1398.45
" ";"2012";1409.53
" ";"2013";1418.65
" ";"2014";1439.44
" ";"2015";1468.06
"Hodoš/Hodos"
" ";"2011";1218.45
" ";"2012";1175.34
" ";"2013";1190.89
" ";"2014";1126.54
" ";"2015";1311.42
"Horjul"
" ";"2011";1416.34
" ";"2012";1429.74
" ";"2013";1420.63
" ";"2014";1491.48
" ";"2015";1522.16
"Hrastnik"
" ";"2011";1300.00
" ";"2012";1298.36
" ";"2013";1311.36
" ";"2014";1311.53
" ";"2015";1342.35
"Hrpelje - Kozina"
" ";"2011";1324.39
" ";"2012";1314.79
" ";"2013";1280.19
" ";"2014";1329.59
" ";"2015";1370.47
"Idrija"
" ";"2011";1440.24
" ";"2012";1459.33
" ";"2013";1473.46
" ";"2014";1507.68
" ";"2015";1519.24
"Ig"
" ";"2011";1423.41
" ";"2012";1417.92
" ";"2013";1394.62
" ";"2014";1368.34
" ";"2015";1379.34
"Ilirska Bistrica"
" ";"2011";1421.18
" ";"2012";1333.12
" ";"2013";1355.09
" ";"2014";1358.03
" ";"2015";1380.27
"Ivanèna Gorica"
" ";"2011";1401.87
" ";"2012";1368.47
" ";"2013";1421.67
" ";"2014";1467.80
" ";"2015";1485.51
"Izola/Isola"
" ";"2011";1438.40
" ";"2012";1452.32
" ";"2013";1466.51
" ";"2014";1488.18
" ";"2015";1491.63
"Jesenice"
" ";"2011";1477.52
" ";"2012";1501.53
" ";"2013";1505.35
" ";"2014";1539.41
" ";"2015";1553.40
"Jezersko"
" ";"2011";1235.73
" ";"2012";1195.32
" ";"2013";1346.01
" ";"2014";1382.69
" ";"2015";1546.87
"Juršinci"
" ";"2011";1372.76
" ";"2012";1264.92
" ";"2013";1196.99
" ";"2014";1273.78
" ";"2015";1294.93
"Kamnik"
" ";"2011";1356.86
" ";"2012";1349.29
" ";"2013";1344.20
" ";"2014";1346.51
" ";"2015";1394.91
"Kanal"
" ";"2011";1532.87
" ";"2012";1543.62
" ";"2013";1401.96
" ";"2014";1432.57
" ";"2015";1444.26
"Kidrièevo"
" ";"2011";1104.31
" ";"2012";1155.57
" ";"2013";1211.63
" ";"2014";1232.10
" ";"2015";1230.42
"Kobarid"
" ";"2011";1294.93
" ";"2012";1262.43
" ";"2013";1267.09
" ";"2014";1321.55
" ";"2015";1295.29
"Kobilje"
" ";"2011";1266.49
" ";"2012";1169.32
" ";"2013";1180.49
" ";"2014";1202.99
" ";"2015";1242.58
"Koèevje"
" ";"2011";1291.67
" ";"2012";1288.34
" ";"2013";1296.70
" ";"2014";1301.76
" ";"2015";1321.51
"Komen"
" ";"2011";1322.61
" ";"2012";1314.72
" ";"2013";1235.13
" ";"2014";1221.96
" ";"2015";1236.68
"Komenda"
" ";"2011";1603.08
" ";"2012";1606.20
" ";"2013";1581.12
" ";"2014";1595.23
" ";"2015";1666.61
"Koper/Capodistria"
" ";"2011";1568.71
" ";"2012";1574.61
" ";"2013";1568.99
" ";"2014";1587.43
" ";"2015";1626.83
"Kostanjevica na Krki"
" ";"2011";1017.22
" ";"2012";1030.47
" ";"2013";1025.73
" ";"2014";1015.60
" ";"2015";1021.51
"Kostel"
" ";"2011";1341.01
" ";"2012";1354.71
" ";"2013";1253.86
" ";"2014";1224.70
" ";"2015";1382.53
"Kozje"
" ";"2011";1319.32
" ";"2012";1330.82
" ";"2013";1271.47
" ";"2014";1293.96
" ";"2015";1332.11
"Kranj"
" ";"2011";1549.45
" ";"2012";1576.82
" ";"2013";1565.86
" ";"2014";1563.28
" ";"2015";1584.81
"Kranjska Gora"
" ";"2011";1347.56
" ";"2012";1312.94
" ";"2013";1312.31
" ";"2014";1321.16
" ";"2015";1319.48
"Križevci"
" ";"2011";1432.29
" ";"2012";1471.21
" ";"2013";1484.39
" ";"2014";1471.80
" ";"2015";1486.10
"Krško"
" ";"2011";1554.09
" ";"2012";1578.62
" ";"2013";1570.60
" ";"2014";1589.10
" ";"2015";1610.41
"Kungota"
" ";"2011";1305.39
" ";"2012";1326.10
" ";"2013";1311.92
" ";"2014";1282.73
" ";"2015";1281.90
"Kuzma"
" ";"2011";1214.18
" ";"2012";1144.20
" ";"2013";1118.66
" ";"2014";1152.01
" ";"2015";1196.96
"Laško"
" ";"2011";1400.10
" ";"2012";1394.54
" ";"2013";1352.30
" ";"2014";1330.19
" ";"2015";1370.60
"Lenart"
" ";"2011";1212.65
" ";"2012";1215.06
" ";"2013";1228.17
" ";"2014";1254.75
" ";"2015";1293.12
"Lendava/Lendva"
" ";"2011";1317.48
" ";"2012";1356.84
" ";"2013";1341.23
" ";"2014";1329.14
" ";"2015";1342.43
"Litija"
" ";"2011";1252.97
" ";"2012";1246.65
" ";"2013";1238.99
" ";"2014";1297.80
" ";"2015";1261.10
"Ljubljana"
" ";"2011";1791.47
" ";"2012";1779.22
" ";"2013";1761.87
" ";"2014";1774.87
" ";"2015";1796.30
"Ljubno"
" ";"2011";1254.61
" ";"2012";1315.81
" ";"2013";1364.22
" ";"2014";1363.14
" ";"2015";1420.27
"Ljutomer"
" ";"2011";1332.04
" ";"2012";1351.15
" ";"2013";1361.49
" ";"2014";1380.56
" ";"2015";1390.22
"Log - Dragomer"
" ";"2011";1145.53
" ";"2012";1194.71
" ";"2013";1303.27
" ";"2014";1315.85
" ";"2015";1338.44
"Logatec"
" ";"2011";1416.53
" ";"2012";1426.53
" ";"2013";1423.10
" ";"2014";1435.37
" ";"2015";1447.76
"Loška dolina"
" ";"2011";1248.51
" ";"2012";1218.15
" ";"2013";1195.82
" ";"2014";1180.01
" ";"2015";1207.70
"Loški Potok"
" ";"2011";1355.68
" ";"2012";1350.75
" ";"2013";1270.66
" ";"2014";1347.29
" ";"2015";1429.33
"Lovrenc na Pohorju"
" ";"2011";1194.61
" ";"2012";1213.37
" ";"2013";1180.84
" ";"2014";1197.47
" ";"2015";1238.99
"Luèe"
" ";"2011";1256.33
" ";"2012";1238.11
" ";"2013";1240.41
" ";"2014";1290.79
" ";"2015";1250.62
"Lukovica"
" ";"2011";1604.97
" ";"2012";1590.86
" ";"2013";1627.06
" ";"2014";1602.88
" ";"2015";1595.76
"Majšperk"
" ";"2011";1158.25
" ";"2012";1148.05
" ";"2013";1133.45
" ";"2014";1163.53
" ";"2015";1183.61
"Makole"
" ";"2011";1100.83
" ";"2012";1164.03
" ";"2013";1185.68
" ";"2014";1146.41
" ";"2015";1144.73
"Maribor"
" ";"2011";1486.40
" ";"2012";1488.64
" ";"2013";1472.34
" ";"2014";1482.24
" ";"2015";1497.32
"Markovci"
" ";"2011";1310.10
" ";"2012";1288.74
" ";"2013";1280.95
" ";"2014";1224.33
" ";"2015";1208.90
"Medvode"
" ";"2011";1412.21
" ";"2012";1408.46
" ";"2013";1419.08
" ";"2014";1425.13
" ";"2015";1435.65
"Mengeš"
" ";"2011";1455.53
" ";"2012";1422.13
" ";"2013";1384.74
" ";"2014";1416.75
" ";"2015";1434.81
"Metlika"
" ";"2011";1216.01
" ";"2012";1200.61
" ";"2013";1217.99
" ";"2014";1227.71
" ";"2015";1255.43
"Mežica"
" ";"2011";1438.67
" ";"2012";1431.49
" ";"2013";1486.08
" ";"2014";1575.56
" ";"2015";1604.17
"Miklavž na Dravskem polju"
" ";"2011";1308.57
" ";"2012";1344.97
" ";"2013";1263.23
" ";"2014";1260.98
" ";"2015";1244.73
"Miren - Kostanjevica"
" ";"2011";1335.50
" ";"2012";1360.46
" ";"2013";1382.21
" ";"2014";1392.39
" ";"2015";1380.65
"Mirna"
" ";"2011";-
" ";"2012";1364.21
" ";"2013";1370.02
" ";"2014";1386.67
" ";"2015";1401.44
"Mirna Peè"
" ";"2011";1416.16
" ";"2012";1323.69
" ";"2013";1304.76
" ";"2014";1352.67
" ";"2015";1309.22
"Mislinja"
" ";"2011";1225.68
" ";"2012";1272.06
" ";"2013";1259.99
" ";"2014";1252.46
" ";"2015";1229.45
"Mokronog - Trebelno"
" ";"2011";1282.97
" ";"2012";1219.87
" ";"2013";1227.60
" ";"2014";1282.46
" ";"2015";1303.90
"Moravèe"
" ";"2011";1360.39
" ";"2012";1342.18
" ";"2013";1319.73
" ";"2014";1372.44
" ";"2015";1398.54
"Moravske Toplice"
" ";"2011";1205.90
" ";"2012";1206.03
" ";"2013";1187.31
" ";"2014";1185.21
" ";"2015";1157.98
"Mozirje"
" ";"2011";1302.93
" ";"2012";1307.84
" ";"2013";1297.39
" ";"2014";1277.91
" ";"2015";1311.25
"Murska Sobota"
" ";"2011";1360.73
" ";"2012";1360.25
" ";"2013";1365.22
" ";"2014";1416.69
" ";"2015";1447.42
"Muta"
" ";"2011";1292.91
" ";"2012";1296.95
" ";"2013";1337.61
" ";"2014";1362.08
" ";"2015";1400.68
"Naklo"
" ";"2011";1457.85
" ";"2012";1450.14
" ";"2013";1504.20
" ";"2014";1472.43
" ";"2015";1420.82
"Nazarje"
" ";"2011";1264.84
" ";"2012";1330.01
" ";"2013";1330.93
" ";"2014";1405.83
" ";"2015";1466.76
"Nova Gorica"
" ";"2011";1591.57
" ";"2012";1564.47
" ";"2013";1541.73
" ";"2014";1542.38
" ";"2015";1560.66
"Novo mesto"
" ";"2011";1685.34
" ";"2012";1714.75
" ";"2013";1723.95
" ";"2014";1781.56
" ";"2015";1766.16
"Odranci"
" ";"2011";1115.09
" ";"2012";1095.66
" ";"2013";1137.94
" ";"2014";1143.81
" ";"2015";1143.49
"Oplotnica"
" ";"2011";1098.78
" ";"2012";1101.67
" ";"2013";1122.24
" ";"2014";1146.38
" ";"2015";1168.89
"Ormož"
" ";"2011";1232.80
" ";"2012";1266.41
" ";"2013";1262.37
" ";"2014";1262.05
" ";"2015";1271.92
"Osilnica"
" ";"2011";883.67
" ";"2012";917.46
" ";"2013";983.12
" ";"2014";1003.34
" ";"2015";1032.41
"Pesnica"
" ";"2011";1312.79
" ";"2012";1321.39
" ";"2013";1290.21
" ";"2014";1316.94
" ";"2015";1357.42
