"Prihodi in prenoèitve turistov po: OBÈINE, LETO, DRŽAVE, SKUPINE"
"NASTANITVENIH OBJEKTOV , MERITVE"

" ";" ";" ";"Skupine nastanitvenih objektov - SKUPAJ"
" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"SLOVENIJA"
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";492269
" ";" ";"DOMAÈI";274204
" ";" ";"TUJI";218065
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";492389
" ";" ";"DOMAÈI";273633
" ";" ";"TUJI";218756
"Podèetrtek"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";349028
" ";" ";"DOMAÈI";245174
" ";" ";"TUJI";103854
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";332200
" ";" ";"DOMAÈI";219106
" ";" ";"TUJI";113094
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";331601
" ";" ";"DOMAÈI";212206
" ";" ";"TUJI";119395
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";323704
" ";" ";"DOMAÈI";201741
" ";" ";"TUJI";121963
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";317995
" ";" ";"DOMAÈI";200015
" ";" ";"TUJI";117980
"Ptuj"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";147820
" ";" ";"DOMAÈI";74798
" ";" ";"TUJI";73022
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";147581
" ";" ";"DOMAÈI";69402
" ";" ";"TUJI";78179
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";134738
" ";" ";"DOMAÈI";65246
" ";" ";"TUJI";69492
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";136408
" ";" ";"DOMAÈI";70660
" ";" ";"TUJI";65748
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";145700
" ";" ";"DOMAÈI";77555
" ";" ";"TUJI";68145
"Radenci"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";126359
" ";" ";"DOMAÈI";67707
" ";" ";"TUJI";58652
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";137371
" ";" ";"DOMAÈI";65645
" ";" ";"TUJI";71726
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";128630
" ";" ";"DOMAÈI";61600
" ";" ";"TUJI";67030
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";132705
" ";" ";"DOMAÈI";67629
" ";" ";"TUJI";65076
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";138239
" ";" ";"DOMAÈI";76703
" ";" ";"TUJI";61536
"Rogaška Slatina"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";265928
" ";" ";"DOMAÈI";55487
" ";" ";"TUJI";210441
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";278559
" ";" ";"DOMAÈI";46281
" ";" ";"TUJI";232278
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";260886
" ";" ";"DOMAÈI";40557
" ";" ";"TUJI";220329
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";248927
" ";" ";"DOMAÈI";36273
" ";" ";"TUJI";212654
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";223584
" ";" ";"DOMAÈI";39589
" ";" ";"TUJI";183995
"Šmarješke Toplice"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";105129
" ";" ";"DOMAÈI";77419
" ";" ";"TUJI";27710
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";95838
" ";" ";"DOMAÈI";68959
" ";" ";"TUJI";26879
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";92732
" ";" ";"DOMAÈI";66131
" ";" ";"TUJI";26601
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";93082
" ";" ";"DOMAÈI";64930
" ";" ";"TUJI";28152
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";92331
" ";" ";"DOMAÈI";61791
